Title,Year,Type,Status
Platonic,,tv,watching
Please Like Me,,tv,completed
Pluribus,,tv,watching
Poker Face,,tv,dropped
Preacher,,tv,completed
Primal,,tv,watching
Primeval,,tv,dropped
Quiz,,tv,completed
Ragnarok,,tv,completed
Raised by Wolves,,tv,dropped
Raising Dion,,tv,dropped
Ratched,,tv,completed
Reboot,,tv,completed
Reno 911!,,tv,dropped
Resident Alien,,tv,completed
Rick and Morty,,tv,watching
Rooster,,tv,watching
Rotten,,tv,completed
Schitt's Creek,,tv,completed
Scrubs,,tv,completed
See,,tv,dropped
Sense8,,tv,completed
Severance,,tv,watching
Sex Education,,tv,completed
Shadow and Bone,,tv,completed
Shameless (US),,tv,completed
Sharp Objects,,tv,completed
Sherlock,,tv,completed
Shogun,,tv,watching
Shoresy,,tv,watching
Shrinking,,tv,dropped
Silicon Valley,,tv,completed
Silo,,tv,completed
Six Feet Under,,tv,completed
Small Prophets,,tv,watching
SMILF,,tv,completed
Snowpiercer,,tv,completed
Solar Opposites,,tv,dropped
Somebody Somewhere,,tv,dropped
Soulmates,,tv,completed
South Park,,tv,dropped
South Side,,tv,dropped
Special,,tv,completed
Spider-Noir (B. Reilly),,tv,dropped
Sprung,,tv,completed
Squid Game,,tv,completed
Staged,,tv,completed
Star Trek: Strange New Worlds,,tv,dropped
Star Wars: Ahsoka,,tv,watching
Star Wars: Andor,,tv,completed
Star Wars: Maul – Shadow Lord,,tv,dropped
Star Wars: The Acolyte,,tv,dropped
StartUp,,tv,completed
Stranger Things,,tv,completed
Stranger Things: Tales from '85,,tv,dropped
Stuart Fails to Save the Universe,,tv,completed
Succession,,tv,completed
Supacell,,tv,watching
Superstore,,tv,completed
Sweet Tooth,,tv,completed
Tacoma FD,,tv,dropped
Tales from the Loop,,tv,completed
Task,,tv,watching
Ted,,tv,completed
Ted Lasso,,tv,watching
That '70s Show,,tv,completed
The Afterparty,,tv,completed
The Alienist,,tv,completed
The Artful Dodger,,tv,watching
The Bastard Son & the Devil Himself,,tv,completed
The Bear,,tv,watching
The Big Bang Theory,,tv,completed
The Big Door Prize,,tv,dropped
The Book of Boba Fett,,tv,completed
The Boroughs,,tv,completed
The Boys,,tv,completed
The Completely Made-Up Adventures of Dick Turpin,,tv,dropped
The Continental: From the World of John Wick,,tv,dropped
The Copenhagen Test,,tv,dropped
The Curse,,tv,completed
The Defiant Ones,,tv,completed
The End of the F***ing World,,tv,completed
The Eternaut,,tv,watching
The Expanse,,tv,dropped
The Falcon and the Winter Soldier,,tv,completed
The Fall,,tv,completed
The Four Seasons,,tv,watching
The Fresh Prince of Bel-Air,,tv,completed
The Gentlemen,,tv,watching
The Goldbergs,,tv,completed
The Good Place,,tv,completed
The Great Canadian Pottery Throw Down,,tv,watching
The Great Pottery Throw Down,,tv,dropped
The Gryphon,,tv,completed
The Handmaid's Tale,,tv,dropped
The Inbetweeners,,tv,completed
The Irregulars,,tv,completed
The IT Crowd,,tv,completed
The Kominsky Method,,tv,completed
The Last Man on Earth,,tv,completed
The Last of Us,,tv,watching
The League,,tv,completed
The Leftovers,,tv,completed
The Letter for the King,,tv,completed
The Lord of the Rings: The Rings of Power,,tv,watching
The Lost Symbol,,tv,completed
The Loudest Voice,,tv,completed
The Man Who Fell to Earth,,tv,completed
The Mandalorian,,tv,completed
The Marvelous Mrs. Maisel,,tv,completed
The Miniature Wife,,tv,watching
The Morning Show,,tv,dropped
The Movies That Made Us,,tv,completed
The Mysterious Benedict Society,,tv,dropped
The Neighbor (El Vecino),,tv,completed
The New Pope,,tv,completed
The Night Manager,,tv,watching
The OA,,tv,completed
The Offer,,tv,completed
The Office (UK),,tv,completed
The Orville,,tv,completed
The Outlaws,,tv,completed
The Paper,,tv,watching
The Queen's Gambit,,tv,completed
The Ranch,,tv,completed
The Rehearsal,,tv,completed
The Righteous Gemstones,,tv,completed
The Sandman,,tv,dropped
The Sentinels,,tv,dropped
The Shannara Chronicles,,tv,dropped
The Sopranos,,tv,completed
The Studio,,tv,watching
The Tick,,tv,completed
The Umbrella Academy,,tv,completed
The Virtues,,tv,completed
The War Between the Land and the Sea,,tv,completed
The White Lotus,,tv,dropped
The Wire,,tv,dropped
The Witcher,,tv,dropped
The Young Offenders,,tv,dropped
The Young Pope,,tv,completed
This Fool,,tv,completed
This Time with Alan Partridge,,tv,completed
Time Bandits,,tv,completed
Tires,,tv,watching
Toast of London,,tv,completed
Toast of Tinseltown,,tv,completed
Todd and the Book of Pure Evil,,tv,completed
Top Boy,,tv,completed
Trailer Park Boys,,tv,completed
Travelers,,tv,dropped
Tribes of Europa,,tv,completed
Trollhunters: Tales of Arcadia,,tv,completed
True Detective,,tv,watching
Truth Seekers,,tv,completed
Tulsa King,,tv,dropped
Turn Up Charlie,,tv,completed
Twin Peaks,,tv,completed
Twisted Metal,,tv,watching
Two and a Half Men,,tv,completed
Two Weeks to Live,,tv,completed
Undeclared,,tv,completed
Upload,,tv,completed
Upper Middle Bogan,,tv,dropped
Upright,,tv,completed
Utopia (US 2020),,tv,completed
V (2009),,tv,completed
Vamos Juan,,tv,completed
Vice Principals,,tv,completed
Vikings,,tv,completed
Vinyl,,tv,completed
WandaVision,,tv,completed
Watchmen,,tv,completed
Wayne,,tv,completed
We Are the Champions,,tv,completed
Wednesday,,tv,watching
Weeds,,tv,completed
Welcome to Flatch,,tv,completed
Welcome to Wrexham,,tv,dropped
Westworld,,tv,dropped
Wet Hot American Summer,,tv,completed
Win or Lose,,tv,completed
Wizards: Tales of Arcadia,,tv,completed
Wonder Man,,tv,watching
Wrecked,,tv,completed
Years and Years,,tv,completed
Yellowjackets,,tv,watching
Young Sheldon,,tv,completed
Young Sherlock,,tv,watching
